検索語句レポート
2026年4月1日 - 2026年5月15日
デバイス,検索語句,マッチタイプ,追加済み / 除外済み,キャンペーン,広告グループ,キーワード,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,キャンペーン タイプ,コンバージョン率,コンバージョン,コンバージョン単価
スマートフォン,築地 税理士,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,吉田 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 トライアンフ パートナーズ,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,熱田 税務署 確定 申告 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",0,4,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 aoi plus,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 事務 所 ファイン タックス,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,江東 区 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,土浦 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,佐々木 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,依田 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,sp 税理士 法人,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,エー ネット 税理士 法人,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,成 倫 税理士 法人,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,池袋 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所 東京 一覧""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,長崎 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,明治 通り 税理士 法人,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 東京""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,上尾 市 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,クリエイト コンサルティング 相模原,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,板橋 税務署 相談 窓口,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,tsk 税理士 法人,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,平田 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,藤枝 税務署 無料 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,福岡 税理士 法人,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""福岡 税理士""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,松戸 税務署 確定 申告 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",0,5,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,橘 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,習志野 税理士,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,藤倉 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,東京 税務 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,日本 みらい 会計,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 龍ケ崎,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,小島 俊光 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,片岡 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,秋葉原 税理士,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,マイクロ 法人 税理士 探し 方,フレーズ一致,追加済み,マイクロ法人LP(PC),マイクロ法人,"""マイクロ 法人 税理士""",1,2,50.00%,JPY,341,341,検索,0.00%,0.00,0
スマートフォン,金沢 区 税理士,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,篠原 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,畝 公認 会計士 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""公認 会計士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,真正 総合 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 渋谷,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,小西 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,上尾 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,東京 タックス コンサルティング,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,新 田 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,ゆび すい 東京,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,音 谷 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,顧問 税理士 相場,完全一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,[税理士 金額],1,1,100.00%,JPY,151,151,検索,0.00%,0.00,0
スマートフォン,宇部 市 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,税理士 個人 事業 主,完全一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,[個人 事業 主 税理士],0,7,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,ティーダ 総合 会計,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,確定 申告 無料 相談 仙台,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""無料 相談 確定 申告""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,小山 公認 会計士 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""公認 会計士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,takeoffer 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,安い 税理士,完全一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,[税理士 安い],0,7,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 和 東京 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 東京""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,津 市 確定 申告 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""確定 申告 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,西村 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,インテル 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,福田 税理士 事務 所 京都,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,上大岡 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,木村 ブレーン,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,センター 南 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 東京 フィナンシャル 会計 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 東京""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 タックス アイズ,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,アドバンス 会計,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,広島 南 税務署 確定 申告 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 tms,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,河合 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,小幡 税理士,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 青木 & パートナーズ,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,スタートアップ 税理士 法人 新宿,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""創業 税理士""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 法人 石井 会計 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税務 相談 横浜 市,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,4,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 神楽坂,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
コンピュータ,sankyodo 税理士 法人,完全一致（類似パターン）,除外済み,マイクロ法人LP(PC),マイクロ法人,"""サン 共同 税理士 法人""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,東京 国税 局 相談 窓口,フレーズ一致（類似パターン）,除外済み,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",1,1,100.00%,JPY,2038,2038,検索,0.00%,0.00,0
コンピュータ,アアクス 堂上 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,木更津 会計 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,千葉 西 税務署 電話 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,足立 区 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,4,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,税理士 会 納税 者 支援 センター,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 相談""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,東金 税務署 相談,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税務署 相談""",0,2,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,高橋 浩 税理士 事務 所 厚木,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,高岡 会計 事務 所 八王子,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税務 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,二宮 税理士 事務 所,フレーズ一致,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 事務 所""",0,3,0.00%,JPY,0,0,検索,0.00%,0.00,0
スマートフォン,谷 税理士 事務 所,フレーズ一致（類似パターン）,なし,マイクロ法人LP(PC),マイクロ法人,"""税理士 相談""",0,1,0.00%,JPY,0,0,検索,0.00%,0.00,0
タブレット,アン テリ ジャンス 税理士 法人 東京,フレーズ一致,除外済み,マイクロ法人LP(PC),マイクロ法人,"""税理士 東京""",1,1,100.00%,JPY,528,528,検索,0.00%,0.00,0
